danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,audio_features,6a9Z1jUms915w4O7N1PxjY,spotify:track:6a9Z1jUms915w4O7N1PxjY,https://api.spotify.com/v1/tracks/6a9Z1jUms915w4O7N1PxjY,https://api.spotify.com/v1/audio-analysis/6a9Z1jUms915w4O7N1PxjY,193039,4,Santa
0.751,0.739,9,-3.649,0,0.0789,0.133,0.0,0.141,0.795,94.065,audio_features,57pj5sOWSCAqZm088LMcE4,spotify:track:57pj5sOWSCAqZm088LMcE4,https://api.spotify.com/v1/tracks/57pj5sOWSCAqZm088LMcE4,https://api.spotify.com/v1/audio-analysis/57pj5sOWSCAqZm088LMcE4,186464,4,Oe Bebé
0.787,0.775,1,-4.607,0,0.0699,0.0373,0.0,0.116,0.826,99.008,audio_features,2llFXBrftm6YJzBj3tpk0s,spotify:track:2llFXBrftm6YJzBj3tpk0s,https://api.spotify.com/v1/tracks/2llFXBrftm6YJzBj3tpk0s,https://api.spotify.com/v1/audio-analysis/2llFXBrftm6YJzBj3tpk0s,176720,4,Doblexxó
0.912,0.7,6,-3.331,0,0.068,0.163,0.0,0.174,0.535,106.981,audio_features,505v13epFXodT9fVAJ6h8k,spotify:track:505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k,170480,4,AMARGURA
0.75,0.682,10,-3.825,1,0.0945,0.168,1.28e-06,0.112,0.618,100.036,audio_features,60u6hcpH5Qm1M3xESdNBrB,spotify:track:60u6hcpH5Qm1M3xESdNBrB,https://api.spotify.com/v1/tracks/60u6hcpH5Qm1M3xESdNBrB,https://api.spotify.com/v1/audio-analysis/60u6hcpH5Qm1M3xESdNBrB,165178,4,Frente al Mar
0.726,0.831,8,-2.035,0,0.12,0.0139,3.71e-06,0.0891,0.489,95.997,audio_features,7chTH3GBjjAyagf0SPCZDL,spotify:track:7chTH3GBjjAyagf0SPCZDL,https://api.spotify.com/v1/tracks/7chTH3GBjjAyagf0SPCZDL,https://api.spotify.com/v1/audio-analysis/7chTH3GBjjAyagf0SPCZDL,152500,4,SI SABE FERXXO
0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4,PERRO NEGRO
0.805,0.89,11,-1.502,0,0.0634,0.0704,0.0,0.121,0.489,93.037,audio_features,0rNqDh9zWWJVTLS4VfceHP,spotify:track:0rNqDh9zWWJVTLS4VfceHP,https://api.spotify.com/v1/tracks/0rNqDh9zWWJVTLS4VfceHP,https://api.spotify.com/v1/audio-analysis/0rNqDh9zWWJVTLS4VfceHP,180360,4,Brickell
0.677,0.695,4,-8.404,1,0.381,0.136,0.0,0.669,0.176,103.848,audio_features,5PDXWKryvv1SRcmSozUdTZ,spotify:track:5PDXWKryvv1SRcmSozUdTZ,https://api.spotify.com/v1/tracks/5PDXWKryvv1SRcmSozUdTZ,https://api.spotify.com/v1/audio-analysis/5PDXWKryvv1SRcmSozUdTZ,144466,4,TBC (KARMA)
0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,audio_features,2naqSVQHgiaoEpxtkVOhmK,spotify:track:2naqSVQHgiaoEpxtkVOhmK,https://api.spotify.com/v1/tracks/2naqSVQHgiaoEpxtkVOhmK,https://api.spotify.com/v1/audio-analysis/2naqSVQHgiaoEpxtkVOhmK,228554,4,Llorarás
0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK,172798,4,QLONA
0.827,0.871,0,-6.072,1,0.123,0.0297,1.46e-06,0.336,0.562,125.013,audio_features,0BoLTC9I3PYefcWd7FOhUh,spotify:track:0BoLTC9I3PYefcWd7FOhUh,https://api.spotify.com/v1/tracks/0BoLTC9I3PYefcWd7FOhUh,https://api.spotify.com/v1/audio-analysis/0BoLTC9I3PYefcWd7FOhUh,178609,4,Chismofilia
0.744,0.727,4,-5.238,0,0.0649,0.211,4.83e-05,0.351,0.847,155.945,audio_features,7ExDiKtnpUtoikn2yfQd54,spotify:track:7ExDiKtnpUtoikn2yfQd54,https://api.spotify.com/v1/tracks/7ExDiKtnpUtoikn2yfQd54,https://api.spotify.com/v1/audio-analysis/7ExDiKtnpUtoikn2yfQd54,155385,4,NECESIDAD
0.803,0.577,7,-5.634,0,0.216,0.423,0.0,0.246,0.452,110.033,audio_features,0i4uSrPDjfMZJf0gaa0i6D,spotify:track:0i4uSrPDjfMZJf0gaa0i6D,https://api.spotify.com/v1/tracks/0i4uSrPDjfMZJf0gaa0i6D,https://api.spotify.com/v1/audio-analysis/0i4uSrPDjfMZJf0gaa0i6D,316364,4,LA CURA
0.801,0.741,9,-5.572,1,0.0953,0.162,0.0,0.0584,0.652,93.98,audio_features,2NFWEVIzLcWARyI8BzgA23,spotify:track:2NFWEVIzLcWARyI8BzgA23,https://api.spotify.com/v1/tracks/2NFWEVIzLcWARyI8BzgA23,https://api.spotify.com/v1/audio-analysis/2NFWEVIzLcWARyI8BzgA23,169888,4,Contentoso
0.897,0.755,9,-5.684,0,0.144,0.00758,0.000451,0.264,0.567,110.008,audio_features,1pLCpA1RN8avJxSD3ZCwhj,spotify:track:1pLCpA1RN8avJxSD3ZCwhj,https://api.spotify.com/v1/tracks/1pLCpA1RN8avJxSD3ZCwhj,https://api.spotify.com/v1/audio-analysis/1pLCpA1RN8avJxSD3ZCwhj,214120,4,Pa' Que La Pases Bien
0.82,0.565,6,-5.965,1,0.17,0.158,2.45e-05,0.0469,0.773,105.11,audio_features,2J9B63FawlTaPdg4eH5X03,spotify:track:2J9B63FawlTaPdg4eH5X03,https://api.spotify.com/v1/tracks/2J9B63FawlTaPdg4eH5X03,https://api.spotify.com/v1/audio-analysis/2J9B63FawlTaPdg4eH5X03,204000,4,Loco
0.73,0.701,5,-5.885,0,0.106,0.132,0.0,0.151,0.785,175.95,audio_features,6DUdDIRgLqCGq1DwkNWQTN,spotify:track:6DUdDIRgLqCGq1DwkNWQTN,https://api.spotify.com/v1/tracks/6DUdDIRgLqCGq1DwkNWQTN,https://api.spotify.com/v1/audio-analysis/6DUdDIRgLqCGq1DwkNWQTN,207307,4,Borro Cassette
0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,audio_features,2CeKVsFFXG4QzA415QygGb,spotify:track:2CeKVsFFXG4QzA415QygGb,https://api.spotify.com/v1/tracks/2CeKVsFFXG4QzA415QygGb,https://api.spotify.com/v1/audio-analysis/2CeKVsFFXG4QzA415QygGb,155960,4,Feliz Cumpleaños Ferxxo
0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,audio_features,3tt9i3Hhzq84dPS8H7iSiJ,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ,https://api.spotify.com/v1/audio-analysis/3tt9i3Hhzq84dPS8H7iSiJ,162638,4,La Bachata
0.529,0.528,0,-6.704,0,0.0846,0.306,0.0,0.604,0.364,110.175,audio_features,0W2pF7zyj9dwZVK1RoUyjh,spotify:track:0W2pF7zyj9dwZVK1RoUyjh,https://api.spotify.com/v1/tracks/0W2pF7zyj9dwZVK1RoUyjh,https://api.spotify.com/v1/audio-analysis/0W2pF7zyj9dwZVK1RoUyjh,390545,4,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo)
0.841,0.774,6,-4.963,0,0.0421,0.117,2.66e-06,0.0674,0.494,95.006,audio_features,3KZCP2StVGdWkOKyRZNWA4,spotify:track:3KZCP2StVGdWkOKyRZNWA4,https://api.spotify.com/v1/tracks/3KZCP2StVGdWkOKyRZNWA4,https://api.spotify.com/v1/audio-analysis/3KZCP2StVGdWkOKyRZNWA4,192120,4,Es Un Secreto
0.373,0.464,4,-8.606,0,0.256,0.86,0.0135,0.127,0.301,79.503,audio_features,1qbql17v0Hazo94o5RUyWQ,spotify:track:1qbql17v0Hazo94o5RUyWQ,https://api.spotify.com/v1/tracks/1qbql17v0Hazo94o5RUyWQ,https://api.spotify.com/v1/audio-analysis/1qbql17v0Hazo94o5RUyWQ,237908,3,KINTSUGI
0.751,0.722,2,-4.197,1,0.0506,0.457,0.0,0.178,0.788,140.043,audio_features,1JXcB149QtbcIpDUA6YZOB,spotify:track:1JXcB149QtbcIpDUA6YZOB,https://api.spotify.com/v1/tracks/1JXcB149QtbcIpDUA6YZOB,https://api.spotify.com/v1/audio-analysis/1JXcB149QtbcIpDUA6YZOB,220135,4,Algo Que Se Quede
0.536,0.396,10,-7.804,1,0.0687,0.604,6.97e-05,0.0969,0.491,157.846,audio_features,3fJHbMUnzceimOnNjp63fF,spotify:track:3fJHbMUnzceimOnNjp63fF,https://api.spotify.com/v1/tracks/3fJHbMUnzceimOnNjp63fF,https://api.spotify.com/v1/audio-analysis/3fJHbMUnzceimOnNjp63fF,186456,3,Primera Cita
0.794,0.576,2,-12.111,1,0.0591,0.225,0.00381,0.0854,0.914,94.993,audio_features,3u2jlo9kygiIAq7SPVuw6S,spotify:track:3u2jlo9kygiIAq7SPVuw6S,https://api.spotify.com/v1/tracks/3u2jlo9kygiIAq7SPVuw6S,https://api.spotify.com/v1/audio-analysis/3u2jlo9kygiIAq7SPVuw6S,214121,4,Dile a Tu Amiga
0.81,0.487,5,-3.737,0,0.174,0.0914,0.0,0.143,0.647,199.962,audio_features,6ZCfGA0bPM50DPmcSlJKGY,spotify:track:6ZCfGA0bPM50DPmcSlJKGY,https://api.spotify.com/v1/tracks/6ZCfGA0bPM50DPmcSlJKGY,https://api.spotify.com/v1/audio-analysis/6ZCfGA0bPM50DPmcSlJKGY,154969,4,HABLAME CLARO
0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,audio_features,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3,Die With A Smile
0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,audio_features,54zcJnb3tp9c5OVKREZ1Is,spotify:track:54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is,154375,4,MI EX TENÍA RAZÓN
0.722,0.68,9,-7.091,1,0.0846,0.0973,0.000293,0.58,0.713,171.968,audio_features,4BXG52ul7GlV4Qpve6JDJo,spotify:track:4BXG52ul7GlV4Qpve6JDJo,https://api.spotify.com/v1/tracks/4BXG52ul7GlV4Qpve6JDJo,https://api.spotify.com/v1/audio-analysis/4BXG52ul7GlV4Qpve6JDJo,240255,4,Señal De Vida
0.733,0.527,0,-5.985,0,0.0486,0.364,0.0,0.0999,0.371,110.045,audio_features,4YnmQG1fnJR9LnTZtix70T,spotify:track:4YnmQG1fnJR9LnTZtix70T,https://api.spotify.com/v1/tracks/4YnmQG1fnJR9LnTZtix70T,https://api.spotify.com/v1/audio-analysis/4YnmQG1fnJR9LnTZtix70T,321742,4,WYA REMIX RED
0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,audio_features,5YJ4BVvTFmVCxUyhKejHfR,spotify:track:5YJ4BVvTFmVCxUyhKejHfR,https://api.spotify.com/v1/tracks/5YJ4BVvTFmVCxUyhKejHfR,https://api.spotify.com/v1/audio-analysis/5YJ4BVvTFmVCxUyhKejHfR,151667,4,Pa' Que Retozen
0.858,0.665,11,-4.772,1,0.152,0.126,0.0,0.119,0.659,100.09,audio_features,1hZsWUnLbqRw09jLAMQSsb,spotify:track:1hZsWUnLbqRw09jLAMQSsb,https://api.spotify.com/v1/tracks/1hZsWUnLbqRw09jLAMQSsb,https://api.spotify.com/v1/audio-analysis/1hZsWUnLbqRw09jLAMQSsb,195587,4,CLASSY 101
0.916,0.481,6,-4.483,0,0.194,0.0179,0.0,0.121,0.714,95.998,audio_features,05sO6FK8E9l2cfwnEUTjHq,spotify:track:05sO6FK8E9l2cfwnEUTjHq,https://api.spotify.com/v1/tracks/05sO6FK8E9l2cfwnEUTjHq,https://api.spotify.com/v1/audio-analysis/05sO6FK8E9l2cfwnEUTjHq,172507,4,CUAL ES ESA
0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,audio_features,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3,Die With A Smile
0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,audio_features,0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,218424,4,"Good Luck, Babe!"
0.67,0.91,0,-4.07,0,0.0634,0.0939,0.0,0.304,0.786,112.966,audio_features,1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ,157280,4,Taste
0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,audio_features,1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,256000,4,Timeless (with Playboi Carti)
0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,audio_features,3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,145219,4,Guess featuring Billie Eilish
0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,audio_features,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373,4,BIRDS OF A FEATHER
0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,audio_features,7221xIgOnuakPdLqT0F3nP,spotify:track:7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,178206,4,I Had Some Help (Feat. Morgan Wallen)
0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,audio_features,4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7,184841,4,HOT TO GO!
0.754,0.514,1,-7.721,0,0.0471,0.0257,3.98e-05,0.0808,0.363,114.997,audio_features,24XihnoVPWXlKJ4BgXqjVM,spotify:track:24XihnoVPWXlKJ4BgXqjVM,https://api.spotify.com/v1/tracks/24XihnoVPWXlKJ4BgXqjVM,https://api.spotify.com/v1/audio-analysis/24XihnoVPWXlKJ4BgXqjVM,156522,4,It's ok I'm ok
0.53,0.406,10,-7.507,1,0.033,0.656,0.0,0.133,0.338,115.94,audio_features,51rfRCiUSvxXlCSCfIztBy,spotify:track:51rfRCiUSvxXlCSCfIztBy,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,https://api.spotify.com/v1/audio-analysis/51rfRCiUSvxXlCSCfIztBy,157147,3,"I Love You, I'm Sorry"
0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,audio_features,5N3hjp1WNayUPZrA8kJmJP,spotify:track:5N3hjp1WNayUPZrA8kJmJP,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP,https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP,186365,4,Please Please Please
0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,audio_features,19RybK6XDbAVpcdxSbZL1o,spotify:track:19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/tracks/19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/audio-analysis/19RybK6XDbAVpcdxSbZL1o,151740,4,Apple
0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,audio_features,2FQrifJ1N335Ljm3TjTVVf,spotify:track:2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,171292,4,A Bar Song (Tipsy)
0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,audio_features,5AJ9hqTS2wcFQCELCFRO7A,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,155152,4,MILLION DOLLAR BABY
0.552,0.73,1,-6.203,1,0.0381,0.0011,0.0,0.0837,0.162,116.875,audio_features,7z7kvUQGwlC6iOl7vMuAr9,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,https://api.spotify.com/v1/tracks/7z7kvUQGwlC6iOl7vMuAr9,https://api.spotify.com/v1/audio-analysis/7z7kvUQGwlC6iOl7vMuAr9,220037,4,Dancing In The Flames
0.74,0.643,10,-5.446,1,0.0413,0.041,0.00229,0.0407,0.96,117.025,audio_features,19XpFsce28aByvCC4g89tJ,spotify:track:19XpFsce28aByvCC4g89tJ,https://api.spotify.com/v1/tracks/19XpFsce28aByvCC4g89tJ,https://api.spotify.com/v1/audio-analysis/19XpFsce28aByvCC4g89tJ,251424,4,Too Sweet
0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,audio_features,51eSHglvG1RJXtL3qI5trr,spotify:track:51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/tracks/51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/audio-analysis/51eSHglvG1RJXtL3qI5trr,161831,4,Slow It Down
0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,audio_features,2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,175459,4,Espresso
0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,audio_features,3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,261467,4,WILDFLOWER
0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,audio_features,1BJJbSX6muJVF2AK7uH1x4,spotify:track:1BJJbSX6muJVF2AK7uH1x4,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,https://api.spotify.com/v1/audio-analysis/1BJJbSX6muJVF2AK7uH1x4,177599,4,Move
0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,audio_features,4q5YezDOIPcoLr8R81x9qy,spotify:track:4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/audio-analysis/4q5YezDOIPcoLr8R81x9qy,218005,4,I Can Do It With a Broken Heart
0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,audio_features,6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz,169698,4,Diet Pepsi
